book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ",,2016-08-12,9791156642732
게임 매니악스 액션 게임 알고리즘,"마츠우라 켄이치로 , 츠카사 유키 ",Wisdom Teeth ,2015-06-28,9788968482069
IT EXPERT 윈도우 시스템 프로그램을 구현하는 기술,이호동 ,,2015-03-28,9788968481789
사전처럼 바로 찾아 쓰는 자바7 : 기본부터 심화까지 해결하는 문제 해결의 길잡이,조시 주노 외 3인 ,백기선 외 8인 ,2013-10-28,9788968480546
"IT CookBook, 자바 프로그래밍 기초 : 원리부터 응용까지",고응남 ,,2008-12-15,9788979146523
이것이 자바다,신용권 ,,2015-01-06,9788968481475
28일 동안 배우는 리눅스 서버 관리,카사노 히데마츠 ,김성재 ,2014-09-28,9788968481215
"안드로이드 프로그래밍 정복 4판, 2권",김상형 ,,2016-01-22,9788968482533
"뇌를 자극하는 RedHat Fedora 리눅스 서버 & 네트워크, 3판",우재남 ,,2014-09-02,9788968481208
"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식 , 신경욱 ",,2013-07-25,9788998756482
이것이 리눅스다,우재남 ,,2015-06-25,9788968481963
"IT CookBook, C 언어 트레이닝",김상형 ,,2017-12-04,9791156643609
뇌를 자극하는 Java 프로그래밍,김윤명 ,,2006-09-04,8979143974
"IT CookBook, C++ 트레이닝",김상형 ,,2018-03-25,9791156643906
파이썬 정복,김상형 ,,2018-04-02,9791162240540
"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,,2017-07-17,9791156643326
임백준의 아카 시작하기 : Akka 개념 잡기,임백준 ,,2015-10-29,9788968487897
"IT CookBook, 자바스크립트 프로그래밍 입문",윤인성 ,,2016-12-15,9791156642787
"IT EXPERT, 리눅스 커널 프로그래밍",한동훈 ,,2007-01-02,8979144601
"게임 개발자를 위한 물리(개정2판) : 차량, 스포츠, 폭발, 모바일 등 게임 물리의 모든 것","브라이언 비발레츠 , 데이비드 버그 ","Pope Kim , 이정훈 , 문정균 ",2014-12-26,9788968481550
"리눅스 커널의 이해, 개정 3판","다니엘 보베이 , 마르코 체사티 ",박장수 ,2006-09-28,8979144326
"자바 8 인 액션 : 람다, 스트림, 함수형 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",우정은 ,2015-03-19,9788968481796
자바7 NIO.2: 파일&네트워크 프로그래밍,앵겔 레너드 ,조태현 ,2012-06-28,9788979149319
리버스 엔지니어링 2권(디버거 편),이호동 ,,2017-03-01,9788968484810
자바 퍼즐러 : 세상에서 가장 재미있는 자바 책,"조슈아 블로크 , 닐 개프터 ",윤인성 ,2014-12-27,9788968481444
"유닉스 리눅스 프로그래밍 필수 유틸리티(개정판) : vim make, gcc, gdb, svn, binutils, autoconf, autotools",백창우 ,,2010-08-01,9788979147599
"안드로이드 프로그래밍 정복 4판, 1권",김상형 ,,2016-01-22,9788968482526
"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤 ,,2014-06-05,9791156641117
"IT CookBook, HTML5 웹 프로그래밍 입문(개정판)",윤인성 ,,2016-12-26,9791156643074
유닉스 리눅스 셸 스크립트 예제 사전,오스미 유스케 ,서수환 ,2015-08-27,9788968482137
"JavaScript+jQuery 정복 : 보고, 이해하고, 바로 쓰는 자바스크립트 공략집",김상형 ,,2014-10-17,9788968481321
"IT CookBook, C C++로 배우는 자료구조론",주우석 ,,2015-02-24,9791156641780
프로그래머 첫걸음,코리 알트호프 ,한선용 ,2018-01-02,9791162240380
뇌를 자극하는 C++ 프로그래밍,이현창 ,,2006-07-06,8979144199
"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수 ,,2017-12-22,9791156643647
"IT CookBook, 핵심이 보이는 전자회로",신경욱 ,,2014-07-22,9791156641308
Head First Physics : 생생한 게임 개발에 꼭 필요한 물리 이야기,헤더 랭 ,홍형경 ,2010-02-02,9788979147285
"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱 ,,2014-05-30,9791156641100
"IT CookBook, 핵심이 보이는 전자회로 실험 with PSPICE",신경욱 ,,2017-11-30,9791156643654
"게임 만드는 사람들의 리얼 수다 : 개발 경력 도합 150년, 게임 개발자 17인을 만나다",박민영 ,,2014-11-27,9788968481437
"IT CookBook, 핵심이 보이는 전자회로 with PSPICE(개정판)",신경욱 ,,2018-04-30,9791156643883
Windows 시스템 실행파일의 구조와 원리,이호동 ,,2005-05-25,897914332x
"IT CookBook,  파이썬 for Beginner",우재남 ,,2017-11-30,9791156643593
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(개정3판)","우재남 , 박길식 ",,2018-02-06,9791156643838
이것이 오라클이다,우재남 ,,2018-03-02,9791162240489
"IT CookBook, C 언어 for Beginner(개정3판)",우재남 ,,2018-06-30,9791156643951
"IT CookBook, 페도라 리눅스(개정판)",이종원 ,,2017-11-10,9791156641599
모던 웹을 위한 JavaScript + jQuery 입문(3판),윤인성 ,,2017-05-01,9788968483554
Hello Coding 파이썬,윤인성 ,,2018-01-02,9791162240274
뇌를 자극하는 ASP.NET 2.0 프로그래밍,이시환 ,,2006-07-06,8979144083
"IT CookBook, 우분투 리눅스(개정판)",이종원 ,,2018-02-20,9791156643821
"윈도우즈 API 정복(개정판), 제1권",김상형 ,,2006-06-01,8979144210
자바스크립트 자료구조와 알고리즘 : 구조적이고 효율적인 자바스크립트 프로그래밍 기법 익히기,마이클 맥밀런 ,우정은 ,2014-08-28,9788968481222
"윈도우즈 API 정복(개정판), 제2권",김상형 ,,2006-06-01,8979144229
"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우 ,,2015-06-28,9791156641872
Hello Coding 그림으로 개념을 이해하는 알고리즘,아디트야 바르가바 ,김도형 ,2017-04-01,9788968483547
Hello Coding 프로그래밍,Pope Kim ,,2018-01-02,9791162240342
"Blog2Book, 고객을 사로잡는 매력적인 제안서와 창의적인 제안팀 이야기","류현주 , 박민영 ",,2009-03-04,9788979146608
"IT CookBook, MFC 윈도우 프로그래밍",강경우 ,,2017-06-26,9791156643265
"IT CookBook, 비주얼 베이직 for Beginner",임관철 ,,2014-09-01,9791156641360
위대한 게임 위대한 기획자,"박찬일 , 최기운 ",,2014-07-14,9788968481130
생각하며 배우는 대학물리학,이기영 ,,2012-01-05,9788979148978
게임 디자인 레벨업 가이드(개정2판) : 유저가 열광하는 위대한 게임을 만드는 기획,스콧 로저스 ,"정하율 , 강권학 , 김경태 , 우정은 ",2015-12-02,9788968482380
이것이 Windows Server다,우재남 ,,2017-07-01,9788968488610
"IT CookBook, 아날로그 CMOS 집적회로 설계 : Design of Analog CMOS Integrated Circuits",버자드 라자비(Behzad Razavi) ,"김대정 , 이강윤 , 이종창 ",2009-05-15,9788979146721
"IT CookBook, C언어 for Beginner(개정판)",우재남 ,,2014-08-08,9791156641339
이것이 C++이다,최호성 ,,2016-01-19,9788968482465
"IT CookBook, Compact C 프로그래밍",김충석 ,,2014-12-15,9791156641483
